StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-12-16T00:00:00Z,APXMIDP,2023-12-16,1,59.07,1537.350
2023-12-16T00:00:00Z,N2EXMIDP,2023-12-16,1,0.00,0.000
2023-12-15T23:30:00Z,APXMIDP,2023-12-15,48,46.06,1407.150
2023-12-15T23:30:00Z,N2EXMIDP,2023-12-15,48,0.00,0.000
2023-12-15T23:00:00Z,APXMIDP,2023-12-15,47,68.21,1658.850
2023-12-15T23:00:00Z,N2EXMIDP,2023-12-15,47,0.00,0.000
2023-12-15T22:30:00Z,APXMIDP,2023-12-15,46,60.68,2357.350
2023-12-15T22:30:00Z,N2EXMIDP,2023-12-15,46,0.00,0.000
2023-12-15T22:00:00Z,APXMIDP,2023-12-15,45,64.22,1888.700
2023-12-15T22:00:00Z,N2EXMIDP,2023-12-15,45,0.00,0.000
2023-12-15T21:30:00Z,APXMIDP,2023-12-15,44,64.71,2018.900
2023-12-15T21:30:00Z,N2EXMIDP,2023-12-15,44,0.00,0.000
2023-12-15T21:00:00Z,APXMIDP,2023-12-15,43,67.44,1765.600
2023-12-15T21:00:00Z,N2EXMIDP,2023-12-15,43,0.00,0.000
2023-12-15T20:30:00Z,APXMIDP,2023-12-15,42,65.42,1562.800
2023-12-15T20:30:00Z,N2EXMIDP,2023-12-15,42,0.00,0.000
2023-12-15T20:00:00Z,APXMIDP,2023-12-15,41,64.52,1603.650
2023-12-15T20:00:00Z,N2EXMIDP,2023-12-15,41,0.00,0.000
2023-12-15T19:30:00Z,APXMIDP,2023-12-15,40,65.55,1712.550
2023-12-15T19:30:00Z,N2EXMIDP,2023-12-15,40,0.00,0.000
2023-12-15T19:00:00Z,APXMIDP,2023-12-15,39,64.09,2007.950
2023-12-15T19:00:00Z,N2EXMIDP,2023-12-15,39,0.00,0.000
2023-12-15T18:30:00Z,APXMIDP,2023-12-15,38,74.70,2803.350
2023-12-15T18:30:00Z,N2EXMIDP,2023-12-15,38,0.00,0.000
2023-12-15T18:00:00Z,APXMIDP,2023-12-15,37,77.33,2804.450
2023-12-15T18:00:00Z,N2EXMIDP,2023-12-15,37,0.00,0.000
2023-12-15T17:30:00Z,APXMIDP,2023-12-15,36,71.73,2829.750
2023-12-15T17:30:00Z,N2EXMIDP,2023-12-15,36,0.00,0.000
2023-12-15T17:00:00Z,APXMIDP,2023-12-15,35,75.28,2379.500
2023-12-15T17:00:00Z,N2EXMIDP,2023-12-15,35,0.00,0.000
2023-12-15T16:30:00Z,APXMIDP,2023-12-15,34,79.08,2492.850
2023-12-15T16:30:00Z,N2EXMIDP,2023-12-15,34,0.00,0.000
2023-12-15T16:00:00Z,APXMIDP,2023-12-15,33,76.37,2097.850
2023-12-15T16:00:00Z,N2EXMIDP,2023-12-15,33,0.00,0.000
2023-12-15T15:30:00Z,APXMIDP,2023-12-15,32,76.37,2196.600
2023-12-15T15:30:00Z,N2EXMIDP,2023-12-15,32,0.00,0.000
2023-12-15T15:00:00Z,APXMIDP,2023-12-15,31,73.91,1980.250
2023-12-15T15:00:00Z,N2EXMIDP,2023-12-15,31,0.00,0.000
2023-12-15T14:30:00Z,APXMIDP,2023-12-15,30,76.04,2335.550
2023-12-15T14:30:00Z,N2EXMIDP,2023-12-15,30,0.00,0.000
2023-12-15T14:00:00Z,APXMIDP,2023-12-15,29,80.93,2260.850
2023-12-15T14:00:00Z,N2EXMIDP,2023-12-15,29,0.00,0.000
2023-12-15T13:30:00Z,APXMIDP,2023-12-15,28,85.91,2516.750
2023-12-15T13:30:00Z,N2EXMIDP,2023-12-15,28,0.00,0.000
2023-12-15T13:00:00Z,APXMIDP,2023-12-15,27,85.73,2159.200
2023-12-15T13:00:00Z,N2EXMIDP,2023-12-15,27,0.00,0.000
2023-12-15T12:30:00Z,APXMIDP,2023-12-15,26,78.19,2618.700
