StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-10-22T00:00:00Z,APXMIDP,2022-10-22,3,90.97,714.250
2022-10-22T00:00:00Z,N2EXMIDP,2022-10-22,3,0.00,0.000
2022-10-21T23:30:00Z,APXMIDP,2022-10-22,2,95.79,487.600
2022-10-21T23:30:00Z,N2EXMIDP,2022-10-22,2,0.00,0.000
2022-10-21T23:00:00Z,APXMIDP,2022-10-22,1,108.50,654.850
2022-10-21T23:00:00Z,N2EXMIDP,2022-10-22,1,0.00,0.000
2022-10-21T22:30:00Z,APXMIDP,2022-10-21,48,96.47,823.550
2022-10-21T22:30:00Z,N2EXMIDP,2022-10-21,48,0.00,0.000
2022-10-21T22:00:00Z,APXMIDP,2022-10-21,47,92.34,683.200
2022-10-21T22:00:00Z,N2EXMIDP,2022-10-21,47,0.00,0.000
2022-10-21T21:30:00Z,APXMIDP,2022-10-21,46,104.92,1559.100
2022-10-21T21:30:00Z,N2EXMIDP,2022-10-21,46,0.00,0.000
2022-10-21T21:00:00Z,APXMIDP,2022-10-21,45,110.81,1465.600
2022-10-21T21:00:00Z,N2EXMIDP,2022-10-21,45,0.00,0.000
2022-10-21T20:30:00Z,APXMIDP,2022-10-21,44,120.84,1299.650
2022-10-21T20:30:00Z,N2EXMIDP,2022-10-21,44,0.00,0.000
2022-10-21T20:00:00Z,APXMIDP,2022-10-21,43,130.89,1534.300
2022-10-21T20:00:00Z,N2EXMIDP,2022-10-21,43,0.00,0.000
2022-10-21T19:30:00Z,APXMIDP,2022-10-21,42,140.09,1789.900
2022-10-21T19:30:00Z,N2EXMIDP,2022-10-21,42,0.00,0.000
2022-10-21T19:00:00Z,APXMIDP,2022-10-21,41,146.94,1764.450
2022-10-21T19:00:00Z,N2EXMIDP,2022-10-21,41,0.00,0.000
2022-10-21T18:30:00Z,APXMIDP,2022-10-21,40,152.06,2221.250
2022-10-21T18:30:00Z,N2EXMIDP,2022-10-21,40,0.00,0.000
2022-10-21T18:00:00Z,APXMIDP,2022-10-21,39,174.83,2155.950
2022-10-21T18:00:00Z,N2EXMIDP,2022-10-21,39,0.00,0.000
2022-10-21T17:30:00Z,APXMIDP,2022-10-21,38,187.94,2492.500
2022-10-21T17:30:00Z,N2EXMIDP,2022-10-21,38,0.00,0.000
2022-10-21T17:00:00Z,APXMIDP,2022-10-21,37,188.18,2084.100
2022-10-21T17:00:00Z,N2EXMIDP,2022-10-21,37,0.00,0.000
2022-10-21T16:30:00Z,APXMIDP,2022-10-21,36,193.17,2393.200
