StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-02-03T00:00:00Z,APXMIDP,2024-02-03,1,16.32,1309.300
2024-02-03T00:00:00Z,N2EXMIDP,2024-02-03,1,0.00,0.000
2024-02-02T23:30:00Z,APXMIDP,2024-02-02,48,21.53,1361.700
2024-02-02T23:30:00Z,N2EXMIDP,2024-02-02,48,0.00,0.000
2024-02-02T23:00:00Z,APXMIDP,2024-02-02,47,19.49,1077.350
2024-02-02T23:00:00Z,N2EXMIDP,2024-02-02,47,0.00,0.000
2024-02-02T22:30:00Z,APXMIDP,2024-02-02,46,24.74,1679.650
2024-02-02T22:30:00Z,N2EXMIDP,2024-02-02,46,0.00,0.000
2024-02-02T22:00:00Z,APXMIDP,2024-02-02,45,50.79,1684.350
2024-02-02T22:00:00Z,N2EXMIDP,2024-02-02,45,0.00,0.000
2024-02-02T21:30:00Z,APXMIDP,2024-02-02,44,37.09,1514.400
2024-02-02T21:30:00Z,N2EXMIDP,2024-02-02,44,0.00,0.000
2024-02-02T21:00:00Z,APXMIDP,2024-02-02,43,60.64,1811.400
2024-02-02T21:00:00Z,N2EXMIDP,2024-02-02,43,0.00,0.000
2024-02-02T20:30:00Z,APXMIDP,2024-02-02,42,48.80,1465.950
2024-02-02T20:30:00Z,N2EXMIDP,2024-02-02,42,0.00,0.000
2024-02-02T20:00:00Z,APXMIDP,2024-02-02,41,58.86,2025.150
2024-02-02T20:00:00Z,N2EXMIDP,2024-02-02,41,0.00,0.000
2024-02-02T19:30:00Z,APXMIDP,2024-02-02,40,54.47,1528.750
2024-02-02T19:30:00Z,N2EXMIDP,2024-02-02,40,0.00,0.000
2024-02-02T19:00:00Z,APXMIDP,2024-02-02,39,64.81,1960.450
2024-02-02T19:00:00Z,N2EXMIDP,2024-02-02,39,0.00,0.000
2024-02-02T18:30:00Z,APXMIDP,2024-02-02,38,68.13,2029.150
2024-02-02T18:30:00Z,N2EXMIDP,2024-02-02,38,0.00,0.000
2024-02-02T18:00:00Z,APXMIDP,2024-02-02,37,71.55,2085.550
2024-02-02T18:00:00Z,N2EXMIDP,2024-02-02,37,0.00,0.000
2024-02-02T17:30:00Z,APXMIDP,2024-02-02,36,70.03,1912.400
2024-02-02T17:30:00Z,N2EXMIDP,2024-02-02,36,0.00,0.000
2024-02-02T17:00:00Z,APXMIDP,2024-02-02,35,68.34,2062.400
2024-02-02T17:00:00Z,N2EXMIDP,2024-02-02,35,0.00,0.000
2024-02-02T16:30:00Z,APXMIDP,2024-02-02,34,62.97,1752.700
2024-02-02T16:30:00Z,N2EXMIDP,2024-02-02,34,0.00,0.000
2024-02-02T16:00:00Z,APXMIDP,2024-02-02,33,46.99,1808.850
2024-02-02T16:00:00Z,N2EXMIDP,2024-02-02,33,0.00,0.000
2024-02-02T15:30:00Z,APXMIDP,2024-02-02,32,42.73,1841.500
2024-02-02T15:30:00Z,N2EXMIDP,2024-02-02,32,0.00,0.000
2024-02-02T15:00:00Z,APXMIDP,2024-02-02,31,36.64,1981.700
2024-02-02T15:00:00Z,N2EXMIDP,2024-02-02,31,0.00,0.000
2024-02-02T14:30:00Z,APXMIDP,2024-02-02,30,35.57,1912.750
2024-02-02T14:30:00Z,N2EXMIDP,2024-02-02,30,0.00,0.000
