StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-08-19T00:00:00Z,APXMIDP,2023-08-19,3,60.77,1112.400
2023-08-19T00:00:00Z,N2EXMIDP,2023-08-19,3,0.00,0.000
2023-08-18T23:30:00Z,APXMIDP,2023-08-19,2,66.58,1094.900
2023-08-18T23:30:00Z,N2EXMIDP,2023-08-19,2,0.00,0.000
2023-08-18T23:00:00Z,APXMIDP,2023-08-19,1,73.75,961.750
2023-08-18T23:00:00Z,N2EXMIDP,2023-08-19,1,0.00,0.000
2023-08-18T22:30:00Z,APXMIDP,2023-08-18,48,77.88,1051.100
2023-08-18T22:30:00Z,N2EXMIDP,2023-08-18,48,0.00,0.000
2023-08-18T22:00:00Z,APXMIDP,2023-08-18,47,89.84,1089.250
2023-08-18T22:00:00Z,N2EXMIDP,2023-08-18,47,0.00,0.000
2023-08-18T21:30:00Z,APXMIDP,2023-08-18,46,74.36,1965.250
2023-08-18T21:30:00Z,N2EXMIDP,2023-08-18,46,0.00,0.000
2023-08-18T21:00:00Z,APXMIDP,2023-08-18,45,71.06,2220.450
2023-08-18T21:00:00Z,N2EXMIDP,2023-08-18,45,0.00,0.000
2023-08-18T20:30:00Z,APXMIDP,2023-08-18,44,72.24,2249.950
2023-08-18T20:30:00Z,N2EXMIDP,2023-08-18,44,0.00,0.000
2023-08-18T20:00:00Z,APXMIDP,2023-08-18,43,80.63,2272.100
2023-08-18T20:00:00Z,N2EXMIDP,2023-08-18,43,0.00,0.000
2023-08-18T19:30:00Z,APXMIDP,2023-08-18,42,77.35,2021.300
2023-08-18T19:30:00Z,N2EXMIDP,2023-08-18,42,0.00,0.000
2023-08-18T19:00:00Z,APXMIDP,2023-08-18,41,81.30,2185.150
2023-08-18T19:00:00Z,N2EXMIDP,2023-08-18,41,0.00,0.000
2023-08-18T18:30:00Z,APXMIDP,2023-08-18,40,75.74,2293.450
2023-08-18T18:30:00Z,N2EXMIDP,2023-08-18,40,0.00,0.000
2023-08-18T18:00:00Z,APXMIDP,2023-08-18,39,79.38,2253.950
2023-08-18T18:00:00Z,N2EXMIDP,2023-08-18,39,0.00,0.000
2023-08-18T17:30:00Z,APXMIDP,2023-08-18,38,73.86,2583.050
2023-08-18T17:30:00Z,N2EXMIDP,2023-08-18,38,0.00,0.000
2023-08-18T17:00:00Z,APXMIDP,2023-08-18,37,70.23,2394.550
2023-08-18T17:00:00Z,N2EXMIDP,2023-08-18,37,0.00,0.000
2023-08-18T16:30:00Z,APXMIDP,2023-08-18,36,67.19,2429.550
2023-08-18T16:30:00Z,N2EXMIDP,2023-08-18,36,0.00,0.000
2023-08-18T16:00:00Z,APXMIDP,2023-08-18,35,69.71,1956.000
2023-08-18T16:00:00Z,N2EXMIDP,2023-08-18,35,0.00,0.000
2023-08-18T15:30:00Z,APXMIDP,2023-08-18,34,61.64,1994.100
2023-08-18T15:30:00Z,N2EXMIDP,2023-08-18,34,0.00,0.000
2023-08-18T15:00:00Z,APXMIDP,2023-08-18,33,62.86,2041.700
2023-08-18T15:00:00Z,N2EXMIDP,2023-08-18,33,0.00,0.000
2023-08-18T14:30:00Z,APXMIDP,2023-08-18,32,62.42,1669.700
2023-08-18T14:30:00Z,N2EXMIDP,2023-08-18,32,0.00,0.000
2023-08-18T14:00:00Z,APXMIDP,2023-08-18,31,62.98,1812.650
2023-08-18T14:00:00Z,N2EXMIDP,2023-08-18,31,0.00,0.000
2023-08-18T13:30:00Z,APXMIDP,2023-08-18,30,59.49,2088.150
2023-08-18T13:30:00Z,N2EXMIDP,2023-08-18,30,0.00,0.000
2023-08-18T13:00:00Z,APXMIDP,2023-08-18,29,63.50,2402.500
2023-08-18T13:00:00Z,N2EXMIDP,2023-08-18,29,0.00,0.000
2023-08-18T12:30:00Z,APXMIDP,2023-08-18,28,59.61,2248.200
2023-08-18T12:30:00Z,N2EXMIDP,2023-08-18,28,0.00,0.000
2023-08-18T12:00:00Z,APXMIDP,2023-08-18,27,61.88,2287.600
2023-08-18T12:00:00Z,N2EXMIDP,2023-08-18,27,0.00,0.000
2023-08-18T11:30:00Z,APXMIDP,2023-08-18,26,76.09,2369.450
2023-08-18T11:30:00Z,N2EXMIDP,2023-08-18,26,0.00,0.000
2023-08-18T11:00:00Z,APXMIDP,2023-08-18,25,78.26,2392.900
2023-08-18T11:00:00Z,N2EXMIDP,2023-08-18,25,0.00,0.000
2023-08-18T10:30:00Z,APXMIDP,2023-08-18,24,67.61,2515.800
